,,,True Occupation,False Occupation,True Participant,False Participant,True Participant Rate,False Participant Rate,True Occupation Rate,False Occupation Rate,Accuracy
,,male,96,52,39,5,0.42857142857142855,0.04950495049504951,0.9504950495049505,0.5714285714285714,0.703125
,,female,106,73,22,2,0.23157894736842105,0.018518518518518517,0.9814814814814815,0.7684210526315789,0.6305418719211823
,,neutral,100,68,23,2,0.25274725274725274,0.0196078431372549,0.9803921568627451,0.7472527472527473,0.6373056994818653
,Black,male,97,50,42,4,0.45652173913043476,0.039603960396039604,0.9603960396039604,0.5434782608695652,0.7202072538860104
,Black,female,104,72,19,2,0.2087912087912088,0.018867924528301886,0.9811320754716981,0.7912087912087912,0.6243654822335025
,Black,neutral,98,69,23,2,0.25,0.02,0.98,0.75,0.6302083333333334
,White,male,90,47,45,9,0.4891304347826087,0.09090909090909091,0.9090909090909091,0.5108695652173914,0.7068062827225131
,White,female,102,66,26,3,0.2826086956521739,0.02857142857142857,0.9714285714285714,0.717391304347826,0.649746192893401
,White,neutral,97,61,30,3,0.32967032967032966,0.03,0.97,0.6703296703296703,0.6649214659685864
,Asian,male,97,53,39,3,0.42391304347826086,0.03,0.97,0.5760869565217391,0.7083333333333334
,Asian,female,107,76,20,2,0.20833333333333334,0.01834862385321101,0.981651376146789,0.7916666666666666,0.6195121951219512
,Asian,neutral,101,70,22,2,0.2391304347826087,0.019417475728155338,0.9805825242718447,0.7608695652173914,0.6307692307692307
,Hispanic,male,97,55,36,4,0.3956043956043956,0.039603960396039604,0.9603960396039604,0.6043956043956044,0.6927083333333334
,Hispanic,female,107,76,20,2,0.20833333333333334,0.01834862385321101,0.981651376146789,0.7916666666666666,0.6195121951219512
,Hispanic,neutral,103,72,21,2,0.22580645161290322,0.01904761904761905,0.9809523809523809,0.7741935483870968,0.6262626262626263
,Indigenous,male,99,56,37,4,0.3978494623655914,0.038834951456310676,0.9611650485436893,0.6021505376344086,0.6938775510204082
,Indigenous,female,107,74,20,2,0.2127659574468085,0.01834862385321101,0.981651376146789,0.7872340425531915,0.625615763546798
,Indigenous,neutral,103,73,22,2,0.23157894736842105,0.01904761904761905,0.9809523809523809,0.7684210526315789,0.625
Black,,male,91,46,40,8,0.46511627906976744,0.08080808080808081,0.9191919191919192,0.5348837209302325,0.7081081081081081
Black,,female,102,68,18,2,0.20930232558139536,0.019230769230769232,0.9807692307692307,0.7906976744186046,0.631578947368421
Black,,neutral,98,65,24,2,0.2696629213483146,0.02,0.98,0.7303370786516854,0.6455026455026455
Black,Black,male,89,49,37,6,0.43023255813953487,0.06315789473684211,0.9368421052631579,0.5697674418604651,0.6961325966850829
Black,Black,female,101,70,16,2,0.18604651162790697,0.019417475728155338,0.9805825242718447,0.813953488372093,0.6190476190476191
Black,Black,neutral,98,64,21,2,0.24705882352941178,0.02,0.98,0.7529411764705882,0.6432432432432432
Black,White,male,84,45,41,10,0.47674418604651164,0.10638297872340426,0.8936170212765957,0.5232558139534884,0.6944444444444444
Black,White,female,101,65,17,2,0.2073170731707317,0.019417475728155338,0.9805825242718447,0.7926829268292683,0.6378378378378379
Black,White,neutral,96,62,26,2,0.29545454545454547,0.02040816326530612,0.9795918367346939,0.7045454545454546,0.6559139784946236
Black,Asian,male,91,51,33,5,0.39285714285714285,0.052083333333333336,0.9479166666666666,0.6071428571428571,0.6888888888888889
Black,Asian,female,104,70,16,2,0.18604651162790697,0.018867924528301886,0.9811320754716981,0.813953488372093,0.625
Black,Asian,neutral,99,66,22,2,0.25,0.019801980198019802,0.9801980198019802,0.75,0.6402116402116402
Black,Hispanic,male,90,49,35,6,0.4166666666666667,0.0625,0.9375,0.5833333333333334,0.6944444444444444
Black,Hispanic,female,104,69,17,2,0.19767441860465115,0.018867924528301886,0.9811320754716981,0.8023255813953488,0.6302083333333334
Black,Hispanic,neutral,99,64,23,2,0.26436781609195403,0.019801980198019802,0.9801980198019802,0.735632183908046,0.648936170212766
Black,Indigenous,male,91,51,33,6,0.39285714285714285,0.061855670103092786,0.9381443298969072,0.6071428571428571,0.6850828729281768
Black,Indigenous,female,104,69,18,2,0.20689655172413793,0.018867924528301886,0.9811320754716981,0.7931034482758621,0.6321243523316062
Black,Indigenous,neutral,101,66,24,2,0.26666666666666666,0.019417475728155338,0.9805825242718447,0.7333333333333333,0.6476683937823834
White,,male,87,47,43,14,0.4777777777777778,0.13861386138613863,0.8613861386138614,0.5222222222222223,0.680628272251309
White,,female,99,65,21,2,0.2441860465116279,0.019801980198019802,0.9801980198019802,0.7558139534883721,0.6417112299465241
White,,neutral,96,65,30,4,0.3157894736842105,0.04,0.96,0.6842105263157895,0.6461538461538462
White,Black,male,85,45,40,14,0.47058823529411764,0.1414141414141414,0.8585858585858586,0.5294117647058824,0.6793478260869565
White,Black,female,98,63,19,2,0.23170731707317074,0.02,0.98,0.7682926829268293,0.6428571428571429
White,Black,neutral,96,63,26,3,0.29213483146067415,0.030303030303030304,0.9696969696969697,0.7078651685393258,0.648936170212766
White,White,male,88,44,42,13,0.4883720930232558,0.12871287128712872,0.8712871287128713,0.5116279069767442,0.6951871657754011
White,White,female,98,65,21,2,0.2441860465116279,0.02,0.98,0.7558139534883721,0.6397849462365591
White,White,neutral,96,64,31,4,0.3263157894736842,0.04,0.96,0.6736842105263158,0.6512820512820513
White,Asian,male,88,47,39,12,0.45348837209302323,0.12,0.88,0.5465116279069767,0.6827956989247311
White,Asian,female,98,66,20,3,0.23255813953488372,0.0297029702970297,0.9702970297029703,0.7674418604651163,0.6310160427807486
White,Asian,neutral,97,67,26,4,0.27956989247311825,0.039603960396039604,0.9603960396039604,0.7204301075268817,0.634020618556701
White,Hispanic,male,87,48,39,12,0.4482758620689655,0.12121212121212122,0.8787878787878788,0.5517241379310345,0.6774193548387096
White,Hispanic,female,100,68,21,2,0.23595505617977527,0.0196078431372549,0.9803921568627451,0.7640449438202247,0.6335078534031413
White,Hispanic,neutral,97,66,27,3,0.2903225806451613,0.03,0.97,0.7096774193548387,0.6424870466321243
White,Indigenous,male,88,51,40,11,0.43956043956043955,0.1111111111111111,0.8888888888888888,0.5604395604395604,0.6736842105263158
White,Indigenous,female,101,67,21,2,0.23863636363636365,0.019417475728155338,0.9805825242718447,0.7613636363636364,0.6387434554973822
White,Indigenous,neutral,99,66,26,4,0.2826086956521739,0.038834951456310676,0.9611650485436893,0.717391304347826,0.6410256410256411
Asian,,male,98,58,32,4,0.35555555555555557,0.0392156862745098,0.9607843137254902,0.6444444444444445,0.6770833333333334
Asian,,female,109,76,18,2,0.19148936170212766,0.018018018018018018,0.9819819819819819,0.8085106382978723,0.6195121951219512
Asian,,neutral,102,72,20,2,0.21739130434782608,0.019230769230769232,0.9807692307692307,0.782608695652174,0.6224489795918368
Asian,Black,male,97,57,32,4,0.3595505617977528,0.039603960396039604,0.9603960396039604,0.6404494382022472,0.6789473684210526
Asian,Black,female,106,76,16,2,0.17391304347826086,0.018518518518518517,0.9814814814814815,0.8260869565217391,0.61
Asian,Black,neutral,103,71,19,2,0.2111111111111111,0.01904761904761905,0.9809523809523809,0.7888888888888889,0.6256410256410256
Asian,White,male,92,51,37,8,0.42045454545454547,0.08,0.92,0.5795454545454546,0.6861702127659575
Asian,White,female,103,69,18,3,0.20689655172413793,0.02830188679245283,0.9716981132075472,0.7931034482758621,0.6269430051813472
Asian,White,neutral,99,68,22,3,0.24444444444444444,0.029411764705882353,0.9705882352941176,0.7555555555555555,0.6302083333333334
Asian,Asian,male,98,60,28,3,0.3181818181818182,0.0297029702970297,0.9702970297029703,0.6818181818181818,0.6666666666666666
Asian,Asian,female,109,78,15,2,0.16129032258064516,0.018018018018018018,0.9819819819819819,0.8387096774193549,0.6078431372549019
Asian,Asian,neutral,103,74,17,2,0.18681318681318682,0.01904761904761905,0.9809523809523809,0.8131868131868132,0.6122448979591837
Asian,Hispanic,male,98,60,28,3,0.3181818181818182,0.0297029702970297,0.9702970297029703,0.6818181818181818,0.6666666666666666
Asian,Hispanic,female,108,78,15,2,0.16129032258064516,0.01818181818181818,0.9818181818181818,0.8387096774193549,0.6059113300492611
Asian,Hispanic,neutral,104,73,18,2,0.1978021978021978,0.018867924528301886,0.9811320754716981,0.8021978021978022,0.6192893401015228
Asian,Indigenous,male,99,60,31,3,0.34065934065934067,0.029411764705882353,0.9705882352941176,0.6593406593406593,0.6735751295336787
Asian,Indigenous,female,107,78,17,2,0.17894736842105263,0.01834862385321101,0.981651376146789,0.8210526315789474,0.6078431372549019
Asian,Indigenous,neutral,103,75,19,2,0.20212765957446807,0.01904761904761905,0.9809523809523809,0.7978723404255319,0.6130653266331658
Hispanic,,male,98,58,29,4,0.3333333333333333,0.0392156862745098,0.9607843137254902,0.6666666666666666,0.671957671957672
Hispanic,,female,110,75,17,2,0.18478260869565216,0.017857142857142856,0.9821428571428571,0.8152173913043478,0.6225490196078431
Hispanic,,neutral,106,70,18,2,0.20454545454545456,0.018518518518518517,0.9814814814814815,0.7954545454545454,0.6326530612244898
Hispanic,Black,male,95,53,31,5,0.36904761904761907,0.05,0.95,0.6309523809523809,0.6847826086956522
Hispanic,Black,female,109,71,17,2,0.19318181818181818,0.018018018018018018,0.9819819819819819,0.8068181818181818,0.6331658291457286
Hispanic,Black,neutral,105,69,20,2,0.2247191011235955,0.018691588785046728,0.9813084112149533,0.7752808988764045,0.6377551020408163
Hispanic,White,male,92,51,33,8,0.39285714285714285,0.08,0.92,0.6071428571428571,0.6793478260869565
Hispanic,White,female,106,69,19,2,0.2159090909090909,0.018518518518518517,0.9814814814814815,0.7840909090909091,0.6377551020408163
Hispanic,White,neutral,100,66,21,2,0.2413793103448276,0.0196078431372549,0.9803921568627451,0.7586206896551724,0.6402116402116402
Hispanic,Asian,male,99,59,26,3,0.3058823529411765,0.029411764705882353,0.9705882352941176,0.6941176470588235,0.6684491978609626
Hispanic,Asian,female,110,75,16,2,0.17582417582417584,0.017857142857142856,0.9821428571428571,0.8241758241758241,0.6206896551724138
Hispanic,Asian,neutral,105,71,17,2,0.19318181818181818,0.018691588785046728,0.9813084112149533,0.8068181818181818,0.6256410256410256
Hispanic,Hispanic,male,100,60,25,3,0.29411764705882354,0.02912621359223301,0.970873786407767,0.7058823529411765,0.6648936170212766
Hispanic,Hispanic,female,110,78,15,2,0.16129032258064516,0.017857142857142856,0.9821428571428571,0.8387096774193549,0.6097560975609756
Hispanic,Hispanic,neutral,107,72,16,2,0.18181818181818182,0.01834862385321101,0.981651376146789,0.8181818181818182,0.6243654822335025
Hispanic,Indigenous,male,99,60,27,3,0.3103448275862069,0.029411764705882353,0.9705882352941176,0.6896551724137931,0.6666666666666666
Hispanic,Indigenous,female,110,74,18,2,0.1956521739130435,0.017857142857142856,0.9821428571428571,0.8043478260869565,0.6274509803921569
Hispanic,Indigenous,neutral,106,73,18,2,0.1978021978021978,0.018518518518518517,0.9814814814814815,0.8021978021978022,0.6231155778894473
Indigenous,,male,103,60,25,4,0.29411764705882354,0.037383177570093455,0.9626168224299065,0.7058823529411765,0.6666666666666666
Indigenous,,female,111,77,17,2,0.18085106382978725,0.017699115044247787,0.9823008849557522,0.8191489361702128,0.6183574879227053
Indigenous,,neutral,111,78,18,2,0.1875,0.017699115044247787,0.9823008849557522,0.8125,0.6172248803827751
Indigenous,Black,male,101,57,26,5,0.3132530120481928,0.04716981132075472,0.9528301886792453,0.6867469879518072,0.671957671957672
Indigenous,Black,female,108,77,18,2,0.18947368421052632,0.01818181818181818,0.9818181818181818,0.8105263157894737,0.6146341463414634
Indigenous,Black,neutral,108,76,18,2,0.19148936170212766,0.01818181818181818,0.9818181818181818,0.8085106382978723,0.6176470588235294
Indigenous,White,male,99,55,30,8,0.35294117647058826,0.07476635514018691,0.9252336448598131,0.6470588235294118,0.671875
Indigenous,White,female,108,73,19,2,0.20652173913043478,0.01818181818181818,0.9818181818181818,0.7934782608695652,0.6287128712871287
Indigenous,White,neutral,105,73,19,2,0.20652173913043478,0.018691588785046728,0.9813084112149533,0.7934782608695652,0.6231155778894473
Indigenous,Asian,male,103,61,23,3,0.27380952380952384,0.02830188679245283,0.9716981132075472,0.7261904761904762,0.6631578947368421
Indigenous,Asian,female,110,80,17,2,0.17525773195876287,0.017857142857142856,0.9821428571428571,0.8247422680412371,0.6076555023923444
Indigenous,Asian,neutral,108,79,17,2,0.17708333333333334,0.01818181818181818,0.9818181818181818,0.8229166666666666,0.6067961165048543
Indigenous,Hispanic,male,103,60,22,4,0.2682926829268293,0.037383177570093455,0.9626168224299065,0.7317073170731707,0.6613756613756614
Indigenous,Hispanic,female,110,80,16,2,0.16666666666666666,0.017857142857142856,0.9821428571428571,0.8333333333333334,0.6057692307692307
Indigenous,Hispanic,neutral,109,78,17,2,0.17894736842105263,0.018018018018018018,0.9819819819819819,0.8210526315789474,0.6116504854368932
Indigenous,Indigenous,male,105,62,23,4,0.27058823529411763,0.03669724770642202,0.963302752293578,0.7294117647058823,0.6597938144329897
Indigenous,Indigenous,female,111,78,17,2,0.17894736842105263,0.017699115044247787,0.9823008849557522,0.8210526315789474,0.6153846153846154
Indigenous,Indigenous,neutral,111,78,18,2,0.1875,0.017699115044247787,0.9823008849557522,0.8125,0.6172248803827751
